facility_id,lob,covenant_type,current_value,covenant_limit,status,reporting_date
F0001_02,Corporate Banking,Fixed Charge Coverage,3.26,1.25,Compliant,2022-12-31
F0001_02,Corporate Banking,Cash Flow Leverage,5.15,4.0,Violation,2022-12-31
F0001_02,Corporate Banking,Liquidity,1.33,1.0,Compliant,2022-12-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.91,1.25,Compliant,2023-03-31
F0001_02,Corporate Banking,Cash Flow Leverage,4.13,4.0,Violation,2023-03-31
F0001_02,Corporate Banking,Liquidity,1.77,1.0,Compliant,2023-03-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.8,1.25,Compliant,2023-06-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.65,4.0,Violation,2023-06-30
F0001_02,Corporate Banking,Liquidity,1.03,1.0,Compliant,2023-06-30
F0001_02,Corporate Banking,Fixed Charge Coverage,2.86,1.25,Compliant,2023-09-30
F0001_02,Corporate Banking,Cash Flow Leverage,5.04,4.0,Violation,2023-09-30
F0001_02,Corporate Banking,Liquidity,0.96,1.0,Violation,2023-09-30
F0001_02,Corporate Banking,Fixed Charge Coverage,3.92,1.25,Compliant,2023-12-31
F0001_02,Corporate Banking,Cash Flow Leverage,4.7,4.0,Violation,2023-12-31
F0001_02,Corporate Banking,Liquidity,1.44,1.0,Compliant,2023-12-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.68,1.25,Compliant,2024-03-31
F0001_02,Corporate Banking,Cash Flow Leverage,5.14,4.0,Violation,2024-03-31
F0001_02,Corporate Banking,Liquidity,1.0,1.0,Compliant,2024-03-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.47,1.25,Compliant,2024-06-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.55,4.0,Violation,2024-06-30
F0001_02,Corporate Banking,Liquidity,1.48,1.0,Compliant,2024-06-30
F0001_02,Corporate Banking,Fixed Charge Coverage,2.95,1.25,Compliant,2024-09-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.85,4.0,Violation,2024-09-30
F0001_02,Corporate Banking,Liquidity,1.19,1.0,Compliant,2024-09-30
F0001_02,Corporate Banking,Fixed Charge Coverage,3.68,1.25,Compliant,2024-12-31
F0001_02,Corporate Banking,Cash Flow Leverage,3.77,4.0,Compliant,2024-12-31
F0001_02,Corporate Banking,Liquidity,1.09,1.0,Compliant,2024-12-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.39,1.25,Compliant,2025-03-31
F0001_02,Corporate Banking,Cash Flow Leverage,4.27,4.0,Violation,2025-03-31
F0001_02,Corporate Banking,Liquidity,1.43,1.0,Compliant,2025-03-31
F0001_02,Corporate Banking,Fixed Charge Coverage,3.35,1.25,Compliant,2025-06-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.68,4.0,Violation,2025-06-30
F0001_02,Corporate Banking,Liquidity,1.26,1.0,Compliant,2025-06-30
F0001_02,Corporate Banking,Fixed Charge Coverage,4.15,1.25,Compliant,2025-09-30
F0001_02,Corporate Banking,Cash Flow Leverage,4.13,4.0,Violation,2025-09-30
F0001_02,Corporate Banking,Liquidity,1.56,1.0,Compliant,2025-09-30
F0001_03,Corporate Banking,Fixed Charge Coverage,2.22,1.25,Compliant,2023-09-30
F0001_03,Corporate Banking,Cash Flow Leverage,3.62,4.0,Compliant,2023-09-30
F0001_03,Corporate Banking,Liquidity,2.56,1.0,Compliant,2023-09-30
F0001_03,Corporate Banking,Fixed Charge Coverage,2.17,1.25,Compliant,2023-12-31
F0001_03,Corporate Banking,Cash Flow Leverage,3.48,4.0,Compliant,2023-12-31
F0001_03,Corporate Banking,Liquidity,2.52,1.0,Compliant,2023-12-31
F0001_03,Corporate Banking,Fixed Charge Coverage,1.6,1.25,Compliant,2024-03-31
F0001_03,Corporate Banking,Cash Flow Leverage,3.36,4.0,Compliant,2024-03-31
F0001_03,Corporate Banking,Liquidity,2.38,1.0,Compliant,2024-03-31
F0001_03,Corporate Banking,Fixed Charge Coverage,1.58,1.25,Compliant,2024-06-30
F0001_03,Corporate Banking,Cash Flow Leverage,3.38,4.0,Compliant,2024-06-30
F0001_03,Corporate Banking,Liquidity,2.11,1.0,Compliant,2024-06-30
F0001_03,Corporate Banking,Fixed Charge Coverage,2.06,1.25,Compliant,2024-09-30
F0001_03,Corporate Banking,Cash Flow Leverage,2.97,4.0,Compliant,2024-09-30
F0001_03,Corporate Banking,Liquidity,2.45,1.0,Compliant,2024-09-30
F0001_03,Corporate Banking,Fixed Charge Coverage,2.24,1.25,Compliant,2024-12-31
F0001_03,Corporate Banking,Cash Flow Leverage,3.41,4.0,Compliant,2024-12-31
F0001_03,Corporate Banking,Liquidity,2.48,1.0,Compliant,2024-12-31
F0001_03,Corporate Banking,Fixed Charge Coverage,1.69,1.25,Compliant,2025-03-31
F0001_03,Corporate Banking,Cash Flow Leverage,3.56,4.0,Compliant,2025-03-31
F0001_03,Corporate Banking,Liquidity,2.62,1.0,Compliant,2025-03-31
F0001_03,Corporate Banking,Fixed Charge Coverage,1.88,1.25,Compliant,2025-06-30
F0001_03,Corporate Banking,Cash Flow Leverage,3.31,4.0,Compliant,2025-06-30
F0001_03,Corporate Banking,Liquidity,2.12,1.0,Compliant,2025-06-30
F0001_03,Corporate Banking,Fixed Charge Coverage,2.06,1.25,Compliant,2025-09-30
F0001_03,Corporate Banking,Cash Flow Leverage,2.73,4.0,Compliant,2025-09-30
F0001_03,Corporate Banking,Liquidity,2.48,1.0,Compliant,2025-09-30
F0002_01,Corporate Banking,Fixed Charge Coverage,3.16,1.25,Compliant,2022-06-30
F0002_01,Corporate Banking,Cash Flow Leverage,4.05,4.0,Violation,2022-06-30
F0002_01,Corporate Banking,Liquidity,1.28,1.0,Compliant,2022-06-30
F0002_01,Corporate Banking,Fixed Charge Coverage,2.83,1.25,Compliant,2022-09-30
F0002_01,Corporate Banking,Cash Flow Leverage,4.72,4.0,Violation,2022-09-30
F0002_01,Corporate Banking,Liquidity,1.52,1.0,Compliant,2022-09-30
F0002_01,Corporate Banking,Fixed Charge Coverage,3.04,1.25,Compliant,2022-12-31
F0002_01,Corporate Banking,Cash Flow Leverage,4.78,4.0,Violation,2022-12-31
F0002_01,Corporate Banking,Liquidity,1.82,1.0,Compliant,2022-12-31
F0002_01,Corporate Banking,Fixed Charge Coverage,3.71,1.25,Compliant,2023-03-31
F0002_01,Corporate Banking,Cash Flow Leverage,5.23,4.0,Violation,2023-03-31
F0002_01,Corporate Banking,Liquidity,1.58,1.0,Compliant,2023-03-31
F0002_01,Corporate Banking,Fixed Charge Coverage,3.0,1.25,Compliant,2023-06-30
F0002_01,Corporate Banking,Cash Flow Leverage,5.19,4.0,Violation,2023-06-30
F0002_01,Corporate Banking,Liquidity,1.53,1.0,Compliant,2023-06-30
F0002_01,Corporate Banking,Fixed Charge Coverage,3.2,1.25,Compliant,2023-09-30
F0002_01,Corporate Banking,Cash Flow Leverage,4.74,4.0,Violation,2023-09-30
F0002_01,Corporate Banking,Liquidity,1.58,1.0,Compliant,2023-09-30
F0002_01,Corporate Banking,Fixed Charge Coverage,3.47,1.25,Compliant,2023-12-31
F0002_01,Corporate Banking,Cash Flow Leverage,5.44,4.0,Violation,2023-12-31
F0002_01,Corporate Banking,Liquidity,1.47,1.0,Compliant,2023-12-31
F0002_01,Corporate Banking,Fixed Charge Coverage,3.66,1.25,Compliant,2024-03-31
F0002_01,Corporate Banking,Cash Flow Leverage,5.17,4.0,Violation,2024-03-31
F0002_01,Corporate Banking,Liquidity,1.19,1.0,Compliant,2024-03-31
F0002_01,Corporate Banking,Fixed Charge Coverage,3.45,1.25,Compliant,2024-06-30
F0002_01,Corporate Banking,Cash Flow Leverage,4.73,4.0,Violation,2024-06-30
F0002_01,Corporate Banking,Liquidity,1.78,1.0,Compliant,2024-06-30
F0002_01,Corporate Banking,Fixed Charge Coverage,3.0,1.25,Compliant,2024-09-30
F0002_01,Corporate Banking,Cash Flow Leverage,4.63,4.0,Violation,2024-09-30
F0002_01,Corporate Banking,Liquidity,1.31,1.0,Compliant,2024-09-30
F0002_01,Corporate Banking,Fixed Charge Coverage,3.24,1.25,Compliant,2024-12-31
F0002_01,Corporate Banking,Cash Flow Leverage,5.48,4.0,Violation,2024-12-31
F0002_01,Corporate Banking,Liquidity,1.17,1.0,Compliant,2024-12-31
F0002_01,Corporate Banking,Fixed Charge Coverage,2.77,1.25,Compliant,2025-03-31
F0002_01,Corporate Banking,Cash Flow Leverage,4.92,4.0,Violation,2025-03-31
F0002_01,Corporate Banking,Liquidity,1.19,1.0,Compliant,2025-03-31
F0002_01,Corporate Banking,Fixed Charge Coverage,3.02,1.25,Compliant,2025-06-30
F0002_01,Corporate Banking,Cash Flow Leverage,5.19,4.0,Violation,2025-06-30
F0002_01,Corporate Banking,Liquidity,1.26,1.0,Compliant,2025-06-30
F0002_01,Corporate Banking,Fixed Charge Coverage,3.84,1.25,Compliant,2025-09-30
F0002_01,Corporate Banking,Cash Flow Leverage,4.75,4.0,Violation,2025-09-30
F0002_01,Corporate Banking,Liquidity,1.55,1.0,Compliant,2025-09-30
F0002_02,Corporate Banking,Fixed Charge Coverage,2.75,1.25,Compliant,2020-09-30
F0002_02,Corporate Banking,Cash Flow Leverage,5.09,4.0,Violation,2020-09-30
F0002_02,Corporate Banking,Liquidity,1.18,1.0,Compliant,2020-09-30
F0002_02,Corporate Banking,Fixed Charge Coverage,2.02,1.25,Compliant,2020-12-31
F0002_02,Corporate Banking,Cash Flow Leverage,5.21,4.0,Violation,2020-12-31
F0002_02,Corporate Banking,Liquidity,1.49,1.0,Compliant,2020-12-31
F0002_02,Corporate Banking,Fixed Charge Coverage,1.96,1.25,Compliant,2021-03-31
F0002_02,Corporate Banking,Cash Flow Leverage,5.69,4.0,Violation,2021-03-31
F0002_02,Corporate Banking,Liquidity,1.33,1.0,Compliant,2021-03-31
F0002_02,Corporate Banking,Fixed Charge Coverage,2.54,1.25,Compliant,2021-06-30
F0002_02,Corporate Banking,Cash Flow Leverage,4.55,4.0,Violation,2021-06-30
F0002_02,Corporate Banking,Liquidity,1.0,1.0,Compliant,2021-06-30
F0002_02,Corporate Banking,Fixed Charge Coverage,1.49,1.25,Compliant,2021-09-30
F0002_02,Corporate Banking,Cash Flow Leverage,4.76,4.0,Violation,2021-09-30
F0002_02,Corporate Banking,Liquidity,1.31,1.0,Compliant,2021-09-30
F0002_02,Corporate Banking,Fixed Charge Coverage,1.89,1.25,Compliant,2021-12-31
F0002_02,Corporate Banking,Cash Flow Leverage,4.93,4.0,Violation,2021-12-31
F0002_02,Corporate Banking,Liquidity,1.19,1.0,Compliant,2021-12-31
F0002_02,Corporate Banking,Fixed Charge Coverage,2.08,1.25,Compliant,2022-03-31
F0002_02,Corporate Banking,Cash Flow Leverage,4.64,4.0,Violation,2022-03-31
F0002_02,Corporate Banking,Liquidity,1.03,1.0,Compliant,2022-03-31
F0002_02,Corporate Banking,Fixed Charge Coverage,2.15,1.25,Compliant,2022-06-30
F0002_02,Corporate Banking,Cash Flow Leverage,4.85,4.0,Violation,2022-06-30
F0002_02,Corporate Banking,Liquidity,1.12,1.0,Compliant,2022-06-30
F0002_02,Corporate Banking,Fixed Charge Coverage,2.06,1.25,Compliant,2022-09-30
F0002_02,Corporate Banking,Cash Flow Leverage,5.42,4.0,Violation,2022-09-30
F0002_02,Corporate Banking,Liquidity,1.68,1.0,Compliant,2022-09-30
F0002_02,Corporate Banking,Fixed Charge Coverage,1.74,1.25,Compliant,2022-12-31
F0002_02,Corporate Banking,Cash Flow Leverage,5.12,4.0,Violation,2022-12-31
F0002_02,Corporate Banking,Liquidity,1.17,1.0,Compliant,2022-12-31
F0002_02,Corporate Banking,Fixed Charge Coverage,1.76,1.25,Compliant,2023-03-31
F0002_02,Corporate Banking,Cash Flow Leverage,5.24,4.0,Violation,2023-03-31
F0002_02,Corporate Banking,Liquidity,0.96,1.0,Violation,2023-03-31
F0002_02,Corporate Banking,Fixed Charge Coverage,2.3,1.25,Compliant,2023-06-30
F0002_02,Corporate Banking,Cash Flow Leverage,4.7,4.0,Violation,2023-06-30
F0002_02,Corporate Banking,Liquidity,1.56,1.0,Compliant,2023-06-30
F0002_02,Corporate Banking,Fixed Charge Coverage,2.41,1.25,Compliant,2023-09-30
F0002_02,Corporate Banking,Cash Flow Leverage,5.2,4.0,Violation,2023-09-30
F0002_02,Corporate Banking,Liquidity,1.23,1.0,Compliant,2023-09-30
F0002_02,Corporate Banking,Fixed Charge Coverage,2.28,1.25,Compliant,2023-12-31
F0002_02,Corporate Banking,Cash Flow Leverage,4.66,4.0,Violation,2023-12-31
F0002_02,Corporate Banking,Liquidity,1.57,1.0,Compliant,2023-12-31
F0002_02,Corporate Banking,Fixed Charge Coverage,2.77,1.25,Compliant,2024-03-31
F0002_02,Corporate Banking,Cash Flow Leverage,5.11,4.0,Violation,2024-03-31
F0002_02,Corporate Banking,Liquidity,1.05,1.0,Compliant,2024-03-31
F0002_02,Corporate Banking,Fixed Charge Coverage,2.51,1.25,Compliant,2024-06-30
F0002_02,Corporate Banking,Cash Flow Leverage,5.28,4.0,Violation,2024-06-30
F0002_02,Corporate Banking,Liquidity,1.23,1.0,Compliant,2024-06-30
F0002_02,Corporate Banking,Fixed Charge Coverage,2.03,1.25,Compliant,2024-09-30
F0002_02,Corporate Banking,Cash Flow Leverage,5.12,4.0,Violation,2024-09-30
F0002_02,Corporate Banking,Liquidity,1.5,1.0,Compliant,2024-09-30
F0002_02,Corporate Banking,Fixed Charge Coverage,2.6,1.25,Compliant,2024-12-31
F0002_02,Corporate Banking,Cash Flow Leverage,4.8,4.0,Violation,2024-12-31
F0002_02,Corporate Banking,Liquidity,1.34,1.0,Compliant,2024-12-31
F0002_02,Corporate Banking,Fixed Charge Coverage,2.64,1.25,Compliant,2025-03-31
F0002_02,Corporate Banking,Cash Flow Leverage,4.98,4.0,Violation,2025-03-31
F0002_02,Corporate Banking,Liquidity,1.15,1.0,Compliant,2025-03-31
F0002_02,Corporate Banking,Fixed Charge Coverage,2.11,1.25,Compliant,2025-06-30
F0002_02,Corporate Banking,Cash Flow Leverage,5.16,4.0,Violation,2025-06-30
F0002_02,Corporate Banking,Liquidity,1.34,1.0,Compliant,2025-06-30
F0002_02,Corporate Banking,Fixed Charge Coverage,2.22,1.25,Compliant,2025-09-30
F0002_02,Corporate Banking,Cash Flow Leverage,4.66,4.0,Violation,2025-09-30
F0002_02,Corporate Banking,Liquidity,1.37,1.0,Compliant,2025-09-30
F0002_03,Corporate Banking,Fixed Charge Coverage,1.52,1.25,Compliant,2024-06-30
F0002_03,Corporate Banking,Cash Flow Leverage,6.33,4.0,Violation,2024-06-30
F0002_03,Corporate Banking,Liquidity,1.66,1.0,Compliant,2024-06-30
F0002_03,Corporate Banking,Fixed Charge Coverage,1.81,1.25,Compliant,2024-09-30
F0002_03,Corporate Banking,Cash Flow Leverage,5.98,4.0,Violation,2024-09-30
F0002_03,Corporate Banking,Liquidity,1.57,1.0,Compliant,2024-09-30
F0002_03,Corporate Banking,Fixed Charge Coverage,1.3,1.25,Compliant,2024-12-31
F0002_03,Corporate Banking,Cash Flow Leverage,5.69,4.0,Violation,2024-12-31
F0002_03,Corporate Banking,Liquidity,1.94,1.0,Compliant,2024-12-31
F0002_03,Corporate Banking,Fixed Charge Coverage,1.81,1.25,Compliant,2025-03-31
F0002_03,Corporate Banking,Cash Flow Leverage,7.25,4.0,Violation,2025-03-31
F0002_03,Corporate Banking,Liquidity,1.3,1.0,Compliant,2025-03-31
F0002_03,Corporate Banking,Fixed Charge Coverage,1.82,1.25,Compliant,2025-06-30
F0002_03,Corporate Banking,Cash Flow Leverage,5.82,4.0,Violation,2025-06-30
F0002_03,Corporate Banking,Liquidity,1.74,1.0,Compliant,2025-06-30
F0002_03,Corporate Banking,Fixed Charge Coverage,1.57,1.25,Compliant,2025-09-30
F0002_03,Corporate Banking,Cash Flow Leverage,5.35,4.0,Violation,2025-09-30
F0002_03,Corporate Banking,Liquidity,1.47,1.0,Compliant,2025-09-30
F0003_01,Corporate Banking,Fixed Charge Coverage,3.18,1.25,Compliant,2022-12-31
F0003_01,Corporate Banking,Cash Flow Leverage,5.23,4.0,Violation,2022-12-31
F0003_01,Corporate Banking,Liquidity,1.29,1.0,Compliant,2022-12-31
F0003_01,Corporate Banking,Fixed Charge Coverage,2.93,1.25,Compliant,2023-03-31
F0003_01,Corporate Banking,Cash Flow Leverage,4.55,4.0,Violation,2023-03-31
F0003_01,Corporate Banking,Liquidity,0.9,1.0,Violation,2023-03-31
F0003_01,Corporate Banking,Fixed Charge Coverage,3.08,1.25,Compliant,2023-06-30
F0003_01,Corporate Banking,Cash Flow Leverage,5.47,4.0,Violation,2023-06-30
F0003_01,Corporate Banking,Liquidity,1.21,1.0,Compliant,2023-06-30
F0003_01,Corporate Banking,Fixed Charge Coverage,2.57,1.25,Compliant,2023-09-30
F0003_01,Corporate Banking,Cash Flow Leverage,5.85,4.0,Violation,2023-09-30
F0003_01,Corporate Banking,Liquidity,1.16,1.0,Compliant,2023-09-30
F0003_01,Corporate Banking,Fixed Charge Coverage,3.03,1.25,Compliant,2023-12-31
F0003_01,Corporate Banking,Cash Flow Leverage,4.75,4.0,Violation,2023-12-31
F0003_01,Corporate Banking,Liquidity,0.91,1.0,Violation,2023-12-31
F0003_01,Corporate Banking,Fixed Charge Coverage,3.16,1.25,Compliant,2024-03-31
F0003_01,Corporate Banking,Cash Flow Leverage,5.46,4.0,Violation,2024-03-31
F0003_01,Corporate Banking,Liquidity,1.2,1.0,Compliant,2024-03-31
F0003_01,Corporate Banking,Fixed Charge Coverage,2.95,1.25,Compliant,2024-06-30
F0003_01,Corporate Banking,Cash Flow Leverage,5.33,4.0,Violation,2024-06-30
F0003_01,Corporate Banking,Liquidity,1.06,1.0,Compliant,2024-06-30
F0003_01,Corporate Banking,Fixed Charge Coverage,2.58,1.25,Compliant,2024-09-30
F0003_01,Corporate Banking,Cash Flow Leverage,5.18,4.0,Violation,2024-09-30
F0003_01,Corporate Banking,Liquidity,1.37,1.0,Compliant,2024-09-30
F0003_01,Corporate Banking,Fixed Charge Coverage,3.31,1.25,Compliant,2024-12-31
F0003_01,Corporate Banking,Cash Flow Leverage,5.35,4.0,Violation,2024-12-31
F0003_01,Corporate Banking,Liquidity,1.03,1.0,Compliant,2024-12-31
F0003_01,Corporate Banking,Fixed Charge Coverage,3.19,1.25,Compliant,2025-03-31
F0003_01,Corporate Banking,Cash Flow Leverage,5.15,4.0,Violation,2025-03-31
F0003_01,Corporate Banking,Liquidity,1.24,1.0,Compliant,2025-03-31
F0003_01,Corporate Banking,Fixed Charge Coverage,3.25,1.25,Compliant,2025-06-30
F0003_01,Corporate Banking,Cash Flow Leverage,5.27,4.0,Violation,2025-06-30
F0003_01,Corporate Banking,Liquidity,1.29,1.0,Compliant,2025-06-30
F0003_01,Corporate Banking,Fixed Charge Coverage,2.95,1.25,Compliant,2025-09-30
F0003_01,Corporate Banking,Cash Flow Leverage,6.69,4.0,Violation,2025-09-30
F0003_01,Corporate Banking,Liquidity,1.47,1.0,Compliant,2025-09-30
F0003_02,Corporate Banking,Fixed Charge Coverage,2.55,1.25,Compliant,2021-12-31
F0003_02,Corporate Banking,Cash Flow Leverage,5.3,4.0,Violation,2021-12-31
F0003_02,Corporate Banking,Liquidity,1.64,1.0,Compliant,2021-12-31
F0003_02,Corporate Banking,Fixed Charge Coverage,2.7,1.25,Compliant,2022-03-31
F0003_02,Corporate Banking,Cash Flow Leverage,5.18,4.0,Violation,2022-03-31
F0003_02,Corporate Banking,Liquidity,1.5,1.0,Compliant,2022-03-31
F0003_02,Corporate Banking,Fixed Charge Coverage,2.91,1.25,Compliant,2022-06-30
F0003_02,Corporate Banking,Cash Flow Leverage,5.49,4.0,Violation,2022-06-30
F0003_02,Corporate Banking,Liquidity,1.51,1.0,Compliant,2022-06-30
F0003_02,Corporate Banking,Fixed Charge Coverage,2.67,1.25,Compliant,2022-09-30
F0003_02,Corporate Banking,Cash Flow Leverage,4.96,4.0,Violation,2022-09-30
F0003_02,Corporate Banking,Liquidity,1.76,1.0,Compliant,2022-09-30
F0003_02,Corporate Banking,Fixed Charge Coverage,2.86,1.25,Compliant,2022-12-31
F0003_02,Corporate Banking,Cash Flow Leverage,6.08,4.0,Violation,2022-12-31
F0003_02,Corporate Banking,Liquidity,1.31,1.0,Compliant,2022-12-31
F0003_02,Corporate Banking,Fixed Charge Coverage,2.51,1.25,Compliant,2023-03-31
F0003_02,Corporate Banking,Cash Flow Leverage,6.2,4.0,Violation,2023-03-31
F0003_02,Corporate Banking,Liquidity,1.29,1.0,Compliant,2023-03-31
F0003_02,Corporate Banking,Fixed Charge Coverage,2.37,1.25,Compliant,2023-06-30
F0003_02,Corporate Banking,Cash Flow Leverage,6.07,4.0,Violation,2023-06-30
F0003_02,Corporate Banking,Liquidity,1.28,1.0,Compliant,2023-06-30
