facility_id,obligor_name,obligor_rating,balance,origination_date,maturity_date,reporting_date,lob,industry,free_cash_flow,fixed_charge_coverage,cash_flow_leverage,liquidity,profitability,growth,sir,cre_property_type,msa,noi,property_value,dscr,ltv
F0001_02,Corporation Systems Inc,13,885917.47,2021-02-07,2023-04-28,2023-12-31,Corporate Banking,Technology,2.36,3.92,4.7,1.44,0.185,0.096,,,,,,,
F0001_02,Corporation Systems Inc,12,978927.88,2021-02-07,2023-04-28,2024-03-31,Corporate Banking,Technology,2.35,3.68,5.14,1.0,0.201,0.061,,,,,,,
F0001_02,Corporation Systems Inc,11,1045551.26,2021-02-07,2023-04-28,2024-06-30,Corporate Banking,Technology,2.38,3.47,4.55,1.48,0.136,0.135,,,,,,,
F0001_02,Corporation Systems Inc,11,1106008.4,2021-02-07,2023-04-28,2024-09-30,Corporate Banking,Technology,2.27,2.95,4.85,1.19,0.109,0.206,,,,,,,
F0001_02,Corporation Systems Inc,11,657847.86,2021-02-07,2023-04-28,2024-12-31,Corporate Banking,Technology,2.57,3.68,3.77,1.09,0.101,0.099,,,,,,,
F0001_02,Corporation Systems Inc,11,882876.8,2021-02-07,2023-04-28,2025-03-31,Corporate Banking,Technology,2.18,3.39,4.27,1.43,0.095,0.094,,,,,,,
F0001_02,Corporation Systems Inc,11,857241.66,2021-02-07,2023-04-28,2025-06-30,Corporate Banking,Technology,2.09,3.35,4.68,1.26,0.188,0.107,,,,,,,
F0001_02,Corporation Systems Inc,9,893614.13,2021-02-07,2023-04-28,2025-09-30,Corporate Banking,Technology,1.99,4.15,4.13,1.56,0.181,0.145,,,,,,,
F0001_03,Corporation Systems Inc,12,6354854.11,2023-08-09,2026-09-15,2023-09-30,Corporate Banking,Technology,1.59,2.22,3.62,2.56,0.19,0.151,,,,,,,
F0001_03,Corporation Systems Inc,12,5791695.06,2023-08-09,2026-09-15,2023-12-31,Corporate Banking,Technology,1.34,2.17,3.48,2.52,0.164,0.093,,,,,,,
F0001_03,Corporation Systems Inc,11,6484102.14,2023-08-09,2026-09-15,2024-03-31,Corporate Banking,Technology,0.68,1.6,3.36,2.38,0.125,0.025,,,,,,,
F0001_03,Corporation Systems Inc,12,6024050.66,2023-08-09,2026-09-15,2024-06-30,Corporate Banking,Technology,1.33,1.58,3.38,2.11,0.134,0.069,,,,,,,
F0001_03,Corporation Systems Inc,12,6756592.14,2023-08-09,2026-09-15,2024-09-30,Corporate Banking,Technology,1.32,2.06,2.97,2.45,0.137,0.074,,,,,,,
F0001_03,Corporation Systems Inc,11,6274041.57,2023-08-09,2026-09-15,2024-12-31,Corporate Banking,Technology,1.31,2.24,3.41,2.48,0.163,0.048,,,,,,,
F0001_03,Corporation Systems Inc,12,5899600.78,2023-08-09,2026-09-15,2025-03-31,Corporate Banking,Technology,1.28,1.69,3.56,2.62,0.14,0.169,,,,,,,
F0001_03,Corporation Systems Inc,13,6125755.86,2023-08-09,2026-09-15,2025-06-30,Corporate Banking,Technology,1.2,1.88,3.31,2.12,0.227,-0.028,,,,,,,
F0001_03,Corporation Systems Inc,14,5845777.09,2023-08-09,2026-09-15,2025-09-30,Corporate Banking,Technology,1.44,2.06,2.73,2.48,0.13,-0.023,,,,,,,
F0002_01,Group Industries Industries,11,2132207.83,2022-06-01,2027-06-19,2022-06-30,Corporate Banking,Energy,1.78,3.16,4.05,1.28,0.12,0.306,,,,,,,
F0002_01,Group Industries Industries,11,2616541.5,2022-06-01,2027-06-19,2022-09-30,Corporate Banking,Energy,2.28,2.83,4.72,1.52,0.159,0.19,,,,,,,
F0002_01,Group Industries Industries,11,2636380.33,2022-06-01,2027-06-19,2022-12-31,Corporate Banking,Energy,1.82,3.04,4.78,1.82,0.184,0.378,,,,,,,
F0002_01,Group Industries Industries,11,3357641.43,2022-06-01,2027-06-19,2023-03-31,Corporate Banking,Energy,2.05,3.71,5.23,1.58,0.135,0.156,,,,,,,
F0002_01,Group Industries Industries,11,2714097.28,2022-06-01,2027-06-19,2023-06-30,Corporate Banking,Energy,2.16,3.0,5.19,1.53,0.084,0.239,,,,,,,
F0002_01,Group Industries Industries,11,2767962.35,2022-06-01,2027-06-19,2023-09-30,Corporate Banking,Energy,1.66,3.2,4.74,1.58,0.165,0.227,,,,,,,
F0002_01,Group Industries Industries,10,2998374.9,2022-06-01,2027-06-19,2023-12-31,Corporate Banking,Energy,2.1,3.47,5.44,1.47,0.209,0.242,,,,,,,
F0002_01,Group Industries Industries,10,2680416.8,2022-06-01,2027-06-19,2024-03-31,Corporate Banking,Energy,1.53,3.66,5.17,1.19,0.063,0.242,,,,,,,
F0002_01,Group Industries Industries,10,2342337.3,2022-06-01,2027-06-19,2024-06-30,Corporate Banking,Energy,2.03,3.45,4.73,1.78,0.166,0.288,,,,,,,
F0002_01,Group Industries Industries,10,2899780.76,2022-06-01,2027-06-19,2024-09-30,Corporate Banking,Energy,2.01,3.0,4.63,1.31,0.111,0.238,,,,,,,
F0002_01,Group Industries Industries,10,2531451.81,2022-06-01,2027-06-19,2024-12-31,Corporate Banking,Energy,1.86,3.24,5.48,1.17,0.153,0.132,,,,,,,
F0002_01,Group Industries Industries,10,2984688.48,2022-06-01,2027-06-19,2025-03-31,Corporate Banking,Energy,1.97,2.77,4.92,1.19,0.152,0.212,,,,,,,
F0002_01,Group Industries Industries,10,2516795.61,2022-06-01,2027-06-19,2025-06-30,Corporate Banking,Energy,2.08,3.02,5.19,1.26,0.126,0.252,,,,,,,
F0002_01,Group Industries Industries,10,3657239.0,2022-06-01,2027-06-19,2025-09-30,Corporate Banking,Energy,1.87,3.84,4.75,1.55,0.209,0.181,,,,,,,
F0002_02,Group Industries Industries,8,1959648.56,2020-09-18,2026-06-26,2020-09-30,Corporate Banking,Energy,2.09,2.75,5.09,1.18,0.158,0.063,,,,,,,
F0002_02,Group Industries Industries,8,2063086.9,2020-09-18,2026-06-26,2020-12-31,Corporate Banking,Energy,2.48,2.02,5.21,1.49,0.12,-0.067,,,,,,,
F0002_02,Group Industries Industries,7,2113165.78,2020-09-18,2026-06-26,2021-03-31,Corporate Banking,Energy,1.94,1.96,5.69,1.33,0.1,-0.085,,,,,,,
F0002_02,Group Industries Industries,6,2219311.7,2020-09-18,2026-06-26,2021-06-30,Corporate Banking,Energy,2.35,2.54,4.55,1.0,0.113,0.004,,,,,,,
F0002_02,Group Industries Industries,7,1679361.53,2020-09-18,2026-06-26,2021-09-30,Corporate Banking,Energy,1.84,1.49,4.76,1.31,0.079,-0.004,,,,,,,
F0002_02,Group Industries Industries,7,2079335.26,2020-09-18,2026-06-26,2021-12-31,Corporate Banking,Energy,2.11,1.89,4.93,1.19,0.087,-0.024,,,,,,,
F0002_02,Group Industries Industries,7,1755405.47,2020-09-18,2026-06-26,2022-03-31,Corporate Banking,Energy,2.26,2.08,4.64,1.03,0.162,0.05,,,,,,,
F0002_02,Group Industries Industries,7,1861393.0,2020-09-18,2026-06-26,2022-06-30,Corporate Banking,Energy,2.1,2.15,4.85,1.12,0.1,-0.016,,,,,,,
F0002_02,Group Industries Industries,6,1866736.33,2020-09-18,2026-06-26,2022-09-30,Corporate Banking,Energy,2.09,2.06,5.42,1.68,0.101,0.041,,,,,,,
F0002_02,Group Industries Industries,6,1791395.89,2020-09-18,2026-06-26,2022-12-31,Corporate Banking,Energy,2.21,1.74,5.12,1.17,0.178,0.117,,,,,,,
F0002_02,Group Industries Industries,6,1982761.72,2020-09-18,2026-06-26,2023-03-31,Corporate Banking,Energy,2.34,1.76,5.24,0.96,0.108,-0.043,,,,,,,
F0002_02,Group Industries Industries,6,1633818.03,2020-09-18,2026-06-26,2023-06-30,Corporate Banking,Energy,1.78,2.3,4.7,1.56,0.034,0.037,,,,,,,
F0002_02,Group Industries Industries,6,1523842.69,2020-09-18,2026-06-26,2023-09-30,Corporate Banking,Energy,2.22,2.41,5.2,1.23,0.109,-0.117,,,,,,,
F0002_02,Group Industries Industries,6,1757155.69,2020-09-18,2026-06-26,2023-12-31,Corporate Banking,Energy,2.37,2.28,4.66,1.57,0.095,-0.013,,,,,,,
F0002_02,Group Industries Industries,6,1598506.78,2020-09-18,2026-06-26,2024-03-31,Corporate Banking,Energy,2.12,2.77,5.11,1.05,0.103,-0.001,,,,,,,
F0002_02,Group Industries Industries,6,2069100.66,2020-09-18,2026-06-26,2024-06-30,Corporate Banking,Energy,2.11,2.51,5.28,1.23,0.135,0.014,,,,,,,
F0002_02,Group Industries Industries,6,1701752.65,2020-09-18,2026-06-26,2024-09-30,Corporate Banking,Energy,2.34,2.03,5.12,1.5,0.079,-0.111,,,,,,,
F0002_02,Group Industries Industries,6,2008886.67,2020-09-18,2026-06-26,2024-12-31,Corporate Banking,Energy,1.9,2.6,4.8,1.34,0.053,-0.029,,,,,,,
F0002_02,Group Industries Industries,6,1834557.47,2020-09-18,2026-06-26,2025-03-31,Corporate Banking,Energy,2.01,2.64,4.98,1.15,0.101,0.101,,,,,,,
F0002_02,Group Industries Industries,6,1605533.91,2020-09-18,2026-06-26,2025-06-30,Corporate Banking,Energy,2.51,2.11,5.16,1.34,0.101,0.056,,,,,,,
F0002_02,Group Industries Industries,6,1924981.7,2020-09-18,2026-06-26,2025-09-30,Corporate Banking,Energy,2.14,2.22,4.66,1.37,0.079,0.02,,,,,,,
F0002_03,Group Industries Industries,7,6581337.96,2024-06-17,2029-04-25,2024-06-30,Corporate Banking,Energy,2.48,1.52,6.33,1.66,0.129,0.08,,,,,,,
F0002_03,Group Industries Industries,8,6113210.39,2024-06-17,2029-04-25,2024-09-30,Corporate Banking,Energy,2.33,1.81,5.98,1.57,0.121,-0.057,,,,,,,
F0002_03,Group Industries Industries,8,5168696.11,2024-06-17,2029-04-25,2024-12-31,Corporate Banking,Energy,2.91,1.3,5.69,1.94,0.077,0.001,,,,,,,
F0002_03,Group Industries Industries,8,5073934.9,2024-06-17,2029-04-25,2025-03-31,Corporate Banking,Energy,2.62,1.81,7.25,1.3,0.092,0.069,,,,,,,
F0002_03,Group Industries Industries,9,5046715.76,2024-06-17,2029-04-25,2025-06-30,Corporate Banking,Energy,2.45,1.82,5.82,1.74,0.038,0.011,,,,,,,
F0002_03,Group Industries Industries,9,6150642.22,2024-06-17,2029-04-25,2025-09-30,Corporate Banking,Energy,2.7,1.57,5.35,1.47,0.044,0.021,,,,,,,
F0003_01,Industries Industries Corp,8,4147822.95,2022-11-08,2026-05-01,2022-12-31,Corporate Banking,Technology,1.5,3.18,5.23,1.29,0.085,0.285,,,,,,,
F0003_01,Industries Industries Corp,8,4783209.89,2022-11-08,2026-05-01,2023-03-31,Corporate Banking,Technology,1.36,2.93,4.55,0.9,0.142,0.236,,,,,,,
F0003_01,Industries Industries Corp,8,3545876.89,2022-11-08,2026-05-01,2023-06-30,Corporate Banking,Technology,1.53,3.08,5.47,1.21,0.107,0.207,,,,,,,
F0003_01,Industries Industries Corp,8,4493944.12,2022-11-08,2026-05-01,2023-09-30,Corporate Banking,Technology,1.21,2.57,5.85,1.16,0.088,0.275,,,,,,,
F0003_01,Industries Industries Corp,8,3581859.53,2022-11-08,2026-05-01,2023-12-31,Corporate Banking,Technology,1.69,3.03,4.75,0.91,0.046,0.37,,,,,,,
F0003_01,Industries Industries Corp,8,4114103.45,2022-11-08,2026-05-01,2024-03-31,Corporate Banking,Technology,1.43,3.16,5.46,1.2,0.141,0.236,,,,,,,
F0003_01,Industries Industries Corp,9,4382140.76,2022-11-08,2026-05-01,2024-06-30,Corporate Banking,Technology,1.72,2.95,5.33,1.06,0.107,0.351,,,,,,,
F0003_01,Industries Industries Corp,10,4237697.85,2022-11-08,2026-05-01,2024-09-30,Corporate Banking,Technology,1.61,2.58,5.18,1.37,0.068,0.291,,,,,,,
F0003_01,Industries Industries Corp,10,4095896.75,2022-11-08,2026-05-01,2024-12-31,Corporate Banking,Technology,1.45,3.31,5.35,1.03,0.058,0.26,,,,,,,
F0003_01,Industries Industries Corp,10,4682045.57,2022-11-08,2026-05-01,2025-03-31,Corporate Banking,Technology,1.53,3.19,5.15,1.24,0.103,0.303,,,,,,,
F0003_01,Industries Industries Corp,10,3885315.64,2022-11-08,2026-05-01,2025-06-30,Corporate Banking,Technology,1.31,3.25,5.27,1.29,0.045,0.293,,,,,,,
F0003_01,Industries Industries Corp,10,3463719.53,2022-11-08,2026-05-01,2025-09-30,Corporate Banking,Technology,1.36,2.95,6.69,1.47,0.072,0.287,,,,,,,
F0003_02,Industries Industries Corp,14,1972290.51,2021-12-02,2024-11-14,2021-12-31,Corporate Banking,Technology,0.76,2.55,5.3,1.64,0.142,0.143,,,,,,,
F0003_02,Industries Industries Corp,14,1864308.78,2021-12-02,2024-11-14,2022-03-31,Corporate Banking,Technology,0.53,2.7,5.18,1.5,0.099,0.31,,,,,,,
F0003_02,Industries Industries Corp,14,2293595.08,2021-12-02,2024-11-14,2022-06-30,Corporate Banking,Technology,0.42,2.91,5.49,1.51,0.134,0.263,,,,,,,
F0003_02,Industries Industries Corp,14,1972472.35,2021-12-02,2024-11-14,2022-09-30,Corporate Banking,Technology,0.64,2.67,4.96,1.76,0.132,0.25,,,,,,,
F0003_02,Industries Industries Corp,15,2250882.91,2021-12-02,2024-11-14,2022-12-31,Corporate Banking,Technology,0.64,2.86,6.08,1.31,0.116,0.244,,,,,,,
F0003_02,Industries Industries Corp,15,1975390.22,2021-12-02,2024-11-14,2023-03-31,Corporate Banking,Technology,0.6,2.51,6.2,1.29,0.067,0.297,,,,,,,
F0003_02,Industries Industries Corp,15,1970454.54,2021-12-02,2024-11-14,2023-06-30,Corporate Banking,Technology,0.25,2.37,6.07,1.28,0.106,0.346,,,,,,,
F0003_02,Industries Industries Corp,14,1880343.17,2021-12-02,2024-11-14,2023-09-30,Corporate Banking,Technology,0.4,2.25,6.1,1.57,0.145,0.269,,,,,,,
F0003_02,Industries Industries Corp,14,1888448.53,2021-12-02,2024-11-14,2023-12-31,Corporate Banking,Technology,0.62,2.58,5.74,1.54,0.148,0.223,,,,,,,
F0003_02,Industries Industries Corp,12,1880432.63,2021-12-02,2024-11-14,2024-03-31,Corporate Banking,Technology,0.62,2.31,5.59,1.33,0.144,0.202,,,,,,,
F0003_02,Industries Industries Corp,12,2107325.2,2021-12-02,2024-11-14,2024-06-30,Corporate Banking,Technology,0.3,2.72,5.86,1.45,0.14,0.302,,,,,,,
F0003_02,Industries Industries Corp,12,1636269.75,2021-12-02,2024-11-14,2024-09-30,Corporate Banking,Technology,0.28,2.32,5.92,1.59,0.063,0.267,,,,,,,
F0003_02,Industries Industries Corp,12,1837950.6,2021-12-02,2024-11-14,2024-12-31,Corporate Banking,Technology,0.47,2.8,5.13,1.76,0.166,0.314,,,,,,,
F0003_02,Industries Industries Corp,12,1744798.6,2021-12-02,2024-11-14,2025-03-31,Corporate Banking,Technology,0.68,2.93,6.09,1.27,0.027,0.243,,,,,,,
F0003_02,Industries Industries Corp,12,1937878.91,2021-12-02,2024-11-14,2025-06-30,Corporate Banking,Technology,1.13,2.71,5.32,1.48,0.154,0.244,,,,,,,
F0003_02,Industries Industries Corp,12,1535403.45,2021-12-02,2024-11-14,2025-09-30,Corporate Banking,Technology,0.65,2.65,5.53,1.46,0.152,0.33,,,,,,,
F0003_03,Industries Industries Corp,13,3560957.39,2020-10-21,2025-06-07,2020-12-31,Corporate Banking,Technology,2.53,2.5,4.41,3.06,0.243,-0.126,,,,,,,
F0003_03,Industries Industries Corp,13,3002641.2,2020-10-21,2025-06-07,2021-03-31,Corporate Banking,Technology,2.35,1.74,4.04,3.24,0.226,-0.134,,,,,,,
F0003_03,Industries Industries Corp,12,2991377.85,2020-10-21,2025-06-07,2021-06-30,Corporate Banking,Technology,2.52,2.19,3.76,3.15,0.259,-0.037,,,,,,,
F0003_03,Industries Industries Corp,12,3833689.51,2020-10-21,2025-06-07,2021-09-30,Corporate Banking,Technology,2.88,2.28,4.09,2.6,0.245,-0.118,,,,,,,
F0003_03,Industries Industries Corp,13,3904573.36,2020-10-21,2025-06-07,2021-12-31,Corporate Banking,Technology,2.68,2.36,3.66,3.03,0.245,-0.049,,,,,,,
F0003_03,Industries Industries Corp,13,4117529.03,2020-10-21,2025-06-07,2022-03-31,Corporate Banking,Technology,2.25,2.59,4.18,2.89,0.221,-0.131,,,,,,,
F0003_03,Industries Industries Corp,13,3554410.45,2020-10-21,2025-06-07,2022-06-30,Corporate Banking,Technology,2.54,2.62,3.61,2.62,0.184,0.014,,,,,,,
F0003_03,Industries Industries Corp,13,3268643.42,2020-10-21,2025-06-07,2022-09-30,Corporate Banking,Technology,2.66,2.45,3.79,3.0,0.228,-0.034,,,,,,,
F0003_03,Industries Industries Corp,13,3657159.75,2020-10-21,2025-06-07,2022-12-31,Corporate Banking,Technology,2.78,2.47,3.7,3.26,0.179,-0.154,,,,,,,
F0003_03,Industries Industries Corp,13,3870811.36,2020-10-21,2025-06-07,2023-03-31,Corporate Banking,Technology,2.62,3.06,3.76,2.93,0.18,-0.078,,,,,,,
F0003_03,Industries Industries Corp,14,3809460.51,2020-10-21,2025-06-07,2023-06-30,Corporate Banking,Technology,2.72,3.05,3.96,2.86,0.189,-0.065,,,,,,,
F0003_03,Industries Industries Corp,14,4142643.96,2020-10-21,2025-06-07,2023-09-30,Corporate Banking,Technology,2.56,2.35,4.32,2.87,0.236,-0.066,,,,,,,
F0003_03,Industries Industries Corp,14,3548488.7,2020-10-21,2025-06-07,2023-12-31,Corporate Banking,Technology,2.63,2.66,3.56,3.07,0.234,-0.064,,,,,,,
F0003_03,Industries Industries Corp,14,3351647.57,2020-10-21,2025-06-07,2024-03-31,Corporate Banking,Technology,2.39,2.57,3.67,2.74,0.228,-0.062,,,,,,,
F0003_03,Industries Industries Corp,14,2965571.86,2020-10-21,2025-06-07,2024-06-30,Corporate Banking,Technology,2.69,2.59,4.58,2.8,0.169,-0.031,,,,,,,
F0003_03,Industries Industries Corp,14,3878992.01,2020-10-21,2025-06-07,2024-09-30,Corporate Banking,Technology,2.39,2.27,3.5,3.36,0.2,0.018,,,,,,,
F0003_03,Industries Industries Corp,14,3391944.99,2020-10-21,2025-06-07,2024-12-31,Corporate Banking,Technology,2.55,2.47,4.73,2.73,0.251,0.006,,,,,,,
F0003_03,Industries Industries Corp,14,3510249.38,2020-10-21,2025-06-07,2025-03-31,Corporate Banking,Technology,2.83,2.22,3.76,2.73,0.219,-0.106,,,,,,,
F0003_03,Industries Industries Corp,14,3789700.67,2020-10-21,2025-06-07,2025-06-30,Corporate Banking,Technology,2.77,2.6,3.86,2.69,0.206,-0.077,,,,,,,
F0003_03,Industries Industries Corp,14,3484089.73,2020-10-21,2025-06-07,2025-09-30,Corporate Banking,Technology,2.47,2.51,3.87,2.84,0.21,-0.0,,,,,,,
F0004_01,Advanced Tech Partners,12,1597783.29,2023-03-06,2026-06-06,2023-03-31,Corporate Banking,Financial Services,2.11,1.31,4.52,1.46,0.156,0.146,,,,,,,
F0004_01,Advanced Tech Partners,12,1535016.53,2023-03-06,2026-06-06,2023-06-30,Corporate Banking,Financial Services,2.51,1.27,4.55,1.57,0.152,0.138,,,,,,,
F0004_01,Advanced Tech Partners,12,1648369.08,2023-03-06,2026-06-06,2023-09-30,Corporate Banking,Financial Services,2.62,1.93,4.5,1.65,0.174,0.163,,,,,,,
F0004_01,Advanced Tech Partners,12,1425465.35,2023-03-06,2026-06-06,2023-12-31,Corporate Banking,Financial Services,2.27,1.22,4.69,1.31,0.129,0.226,,,,,,,
F0004_01,Advanced Tech Partners,12,1758875.33,2023-03-06,2026-06-06,2024-03-31,Corporate Banking,Financial Services,2.61,1.64,5.52,1.43,0.155,0.142,,,,,,,
F0004_01,Advanced Tech Partners,10,1642337.81,2023-03-06,2026-06-06,2024-06-30,Corporate Banking,Financial Services,2.37,1.58,4.25,1.58,0.209,0.126,,,,,,,
F0004_01,Advanced Tech Partners,10,1667913.33,2023-03-06,2026-06-06,2024-09-30,Corporate Banking,Financial Services,2.11,1.45,5.34,1.94,0.183,0.163,,,,,,,
F0004_01,Advanced Tech Partners,10,1510602.76,2023-03-06,2026-06-06,2024-12-31,Corporate Banking,Financial Services,2.26,1.84,4.89,1.49,0.13,0.095,,,,,,,
F0004_01,Advanced Tech Partners,8,1478991.22,2023-03-06,2026-06-06,2025-03-31,Corporate Banking,Financial Services,2.3,1.2,4.48,1.87,0.169,0.179,,,,,,,
F0004_01,Advanced Tech Partners,8,1288027.4,2023-03-06,2026-06-06,2025-06-30,Corporate Banking,Financial Services,2.32,1.29,5.08,1.65,0.19,0.165,,,,,,,
F0004_01,Advanced Tech Partners,8,1318041.28,2023-03-06,2026-06-06,2025-09-30,Corporate Banking,Financial Services,2.44,1.31,4.31,1.79,0.129,0.191,,,,,,,
F0004_02,Advanced Tech Partners,13,5168229.09,2021-01-02,2023-09-13,2021-03-31,Corporate Banking,Financial Services,3.28,3.91,2.48,1.58,0.251,-0.074,,,,,,,
F0004_02,Advanced Tech Partners,13,4714875.59,2021-01-02,2023-09-13,2021-06-30,Corporate Banking,Financial Services,2.99,4.08,2.18,1.68,0.189,-0.102,,,,,,,
F0004_02,Advanced Tech Partners,13,4875417.79,2021-01-02,2023-09-13,2021-09-30,Corporate Banking,Financial Services,2.67,5.09,2.72,1.68,0.217,-0.062,,,,,,,
F0004_02,Advanced Tech Partners,13,6371185.57,2021-01-02,2023-09-13,2021-12-31,Corporate Banking,Financial Services,2.95,3.48,2.74,1.56,0.221,-0.04,,,,,,,
F0004_02,Advanced Tech Partners,13,4126379.98,2021-01-02,2023-09-13,2022-03-31,Corporate Banking,Financial Services,2.68,4.51,2.58,1.57,0.289,-0.05,,,,,,,
F0004_02,Advanced Tech Partners,17,5532557.14,2021-01-02,2023-09-13,2022-06-30,Corporate Banking,Financial Services,2.62,3.75,2.21,1.63,0.222,-0.077,4825059.42,,,,,,
F0004_02,Advanced Tech Partners,17,4783847.91,2021-01-02,2023-09-13,2022-09-30,Corporate Banking,Financial Services,3.17,4.15,2.95,1.98,0.243,-0.054,2499050.58,,,,,,
F0004_03,Advanced Tech Partners,8,2823183.95,2021-01-08,2024-06-19,2021-03-31,Corporate Banking,Financial Services,1.42,2.26,2.49,2.76,0.093,0.225,,,,,,,
