facility_id,alert_type,severity,message,created_date,status,assigned_to
F0088_02,Default,Critical,"Facility F0088_02 has defaulted (Rating 17) - SIR: $4,732,107.72",2022-06-30,Active,Manager 1
F0092_02,Default,Critical,"Facility F0092_02 has defaulted (Rating 17) - SIR: $833,100.96",2025-03-31,Active,Manager 2
F0092_02,Default,Critical,"Facility F0092_02 has defaulted (Rating 17) - SIR: $1,104,751.70",2025-06-30,Active,Manager 2
F0101_03,Default,Critical,"Facility F0101_03 has defaulted (Rating 17) - SIR: $5,637,907.13",2021-12-31,Active,Manager 2
F0101_03,Default,Critical,"Facility F0101_03 has defaulted (Rating 17) - SIR: $6,226,598.97",2022-03-31,Active,Manager 1
F0102_02,Default,Critical,"Facility F0102_02 has defaulted (Rating 17) - SIR: $2,694,674.66",2022-09-30,Active,Manager 2
F0102_02,Default,Critical,"Facility F0102_02 has defaulted (Rating 17) - SIR: $3,291,208.87",2022-12-31,Active,Manager 2
F0106_01,Default,Critical,"Facility F0106_01 has defaulted (Rating 17) - SIR: $5,694,860.29",2021-12-31,Active,Manager 2
F0106_01,Default,Critical,"Facility F0106_01 has defaulted (Rating 17) - SIR: $2,912,301.32",2022-03-31,Active,Manager 2
F0108_03,Default,Critical,"Facility F0108_03 has defaulted (Rating 17) - SIR: $13,913,537.91",2025-03-31,Active,Manager 1
F0108_03,Default,Critical,"Facility F0108_03 has defaulted (Rating 17) - SIR: $10,473,458.86",2025-06-30,Active,Manager 1
F0109_03,Default,Critical,"Facility F0109_03 has defaulted (Rating 17) - SIR: $6,110,017.96",2023-12-31,Active,Manager 1
F0109_03,Default,Critical,"Facility F0109_03 has defaulted (Rating 17) - SIR: $3,933,587.36",2024-03-31,Active,Manager 2
F0119_01,Default,Critical,"Facility F0119_01 has defaulted (Rating 17) - SIR: $990,340.43",2023-09-30,Active,Manager 2
F0119_01,Default,Critical,"Facility F0119_01 has defaulted (Rating 17) - SIR: $554,405.95",2023-12-31,Active,Manager 1
F0132_01,Default,Critical,"Facility F0132_01 has defaulted (Rating 17) - SIR: $33,058,910.13",2021-03-31,Active,Manager 1
F0132_01,Default,Critical,"Facility F0132_01 has defaulted (Rating 17) - SIR: $44,571,980.01",2021-06-30,Active,Manager 1
F0133_02,Default,Critical,"Facility F0133_02 has defaulted (Rating 17) - SIR: $5,489,370.85",2024-03-31,Active,Manager 2
F0133_02,Default,Critical,"Facility F0133_02 has defaulted (Rating 17) - SIR: $4,794,771.48",2024-06-30,Active,Manager 1
F0134_02,Default,Critical,"Facility F0134_02 has defaulted (Rating 17) - SIR: $8,103,945.60",2021-06-30,Active,Manager 1
F0134_02,Default,Critical,"Facility F0134_02 has defaulted (Rating 17) - SIR: $6,612,328.88",2021-09-30,Active,Manager 2
F0135_01,Default,Critical,"Facility F0135_01 has defaulted (Rating 17) - SIR: $2,600,627.81",2024-12-31,Active,Manager 1
F0135_01,Default,Critical,"Facility F0135_01 has defaulted (Rating 17) - SIR: $1,653,608.51",2025-03-31,Active,Manager 1
F0147_01,Default,Critical,"Facility F0147_01 has defaulted (Rating 17) - SIR: $7,347,262.34",2023-03-31,Active,Manager 2
F0147_01,Default,Critical,"Facility F0147_01 has defaulted (Rating 17) - SIR: $8,257,954.43",2023-06-30,Active,Manager 1
F0173_02,Default,Critical,"Facility F0173_02 has defaulted (Rating 17) - SIR: $6,451,846.28",2025-03-31,Active,Manager 1
F0173_02,Default,Critical,"Facility F0173_02 has defaulted (Rating 17) - SIR: $6,722,307.73",2025-06-30,Active,Manager 2
F0175_01,Default,Critical,"Facility F0175_01 has defaulted (Rating 17) - SIR: $3,339,300.47",2023-06-30,Active,Manager 2
F0175_01,Default,Critical,"Facility F0175_01 has defaulted (Rating 17) - SIR: $2,509,414.20",2023-09-30,Active,Manager 1
F0176_01,Default,Critical,"Facility F0176_01 has defaulted (Rating 17) - SIR: $15,505,421.60",2022-12-31,Active,Manager 2
F0176_01,Default,Critical,"Facility F0176_01 has defaulted (Rating 17) - SIR: $19,498,541.78",2023-03-31,Active,Manager 2
F0176_03,Default,Critical,"Facility F0176_03 has defaulted (Rating 17) - SIR: $2,092,723.82",2023-09-30,Active,Manager 1
F0176_03,Default,Critical,"Facility F0176_03 has defaulted (Rating 17) - SIR: $2,063,959.43",2023-12-31,Active,Manager 1
F0180_03,Default,Critical,"Facility F0180_03 has defaulted (Rating 17) - SIR: $8,187,877.69",2025-09-30,Active,Manager 1
F0199_01,Default,Critical,"Facility F0199_01 has defaulted (Rating 17) - SIR: $8,525,299.52",2025-03-31,Active,Manager 2
F0199_01,Default,Critical,"Facility F0199_01 has defaulted (Rating 17) - SIR: $5,888,980.01",2025-06-30,Active,Manager 1
F0001_02,High Risk,High,Facility F0001_02 has high risk rating of 13,2021-03-31,Active,Analyst 2
F0001_02,High Risk,High,Facility F0001_02 has high risk rating of 13,2023-12-31,Active,Analyst 4
F0001_03,High Risk,High,Facility F0001_03 has high risk rating of 13,2025-06-30,Active,Analyst 1
F0001_03,High Risk,High,Facility F0001_03 has high risk rating of 14,2025-09-30,Active,Analyst 4
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 14,2021-12-31,Active,Analyst 4
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 14,2022-03-31,Active,Analyst 3
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 14,2022-06-30,Active,Analyst 1
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 14,2022-09-30,Active,Analyst 1
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 15,2022-12-31,Active,Analyst 2
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 15,2023-03-31,Active,Analyst 2
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 15,2023-06-30,Active,Analyst 1
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 14,2023-09-30,Active,Analyst 4
F0003_02,High Risk,High,Facility F0003_02 has high risk rating of 14,2023-12-31,Active,Analyst 2
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 13,2020-12-31,Active,Analyst 4
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 13,2021-03-31,Active,Analyst 1
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 13,2021-12-31,Active,Analyst 1
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 13,2022-03-31,Active,Analyst 2
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 13,2022-06-30,Active,Analyst 1
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 13,2022-09-30,Active,Analyst 1
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 13,2022-12-31,Active,Analyst 5
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 13,2023-03-31,Active,Analyst 5
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2023-06-30,Active,Analyst 4
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2023-09-30,Active,Analyst 3
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2023-12-31,Active,Analyst 4
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2024-03-31,Active,Analyst 2
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2024-06-30,Active,Analyst 4
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2024-09-30,Active,Analyst 4
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2024-12-31,Active,Analyst 3
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2025-03-31,Active,Analyst 5
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2025-06-30,Active,Analyst 4
F0003_03,High Risk,High,Facility F0003_03 has high risk rating of 14,2025-09-30,Active,Analyst 2
F0004_02,High Risk,High,Facility F0004_02 has high risk rating of 13,2021-03-31,Active,Analyst 2
F0004_02,High Risk,High,Facility F0004_02 has high risk rating of 13,2021-06-30,Active,Analyst 5
F0004_02,High Risk,High,Facility F0004_02 has high risk rating of 13,2021-09-30,Active,Analyst 5
F0004_02,High Risk,High,Facility F0004_02 has high risk rating of 13,2021-12-31,Active,Analyst 3
F0004_02,High Risk,High,Facility F0004_02 has high risk rating of 13,2022-03-31,Active,Analyst 2
F0020_01,High Risk,High,Facility F0020_01 has high risk rating of 13,2024-06-30,Active,Analyst 3
F0020_01,High Risk,High,Facility F0020_01 has high risk rating of 14,2024-09-30,Active,Analyst 1
F0020_01,High Risk,High,Facility F0020_01 has high risk rating of 14,2024-12-31,Active,Analyst 2
F0020_01,High Risk,High,Facility F0020_01 has high risk rating of 14,2025-03-31,Active,Analyst 1
F0020_01,High Risk,High,Facility F0020_01 has high risk rating of 14,2025-06-30,Active,Analyst 2
F0020_01,High Risk,High,Facility F0020_01 has high risk rating of 14,2025-09-30,Active,Analyst 1
F0020_02,High Risk,High,Facility F0020_02 has high risk rating of 13,2024-09-30,Active,Analyst 4
F0020_02,High Risk,High,Facility F0020_02 has high risk rating of 13,2024-12-31,Active,Analyst 5
F0020_02,High Risk,High,Facility F0020_02 has high risk rating of 13,2025-03-31,Active,Analyst 5
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 15,2022-12-31,Active,Analyst 1
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 15,2023-03-31,Active,Analyst 3
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 15,2023-06-30,Active,Analyst 5
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 14,2023-09-30,Active,Analyst 3
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 14,2023-12-31,Active,Analyst 1
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 14,2024-03-31,Active,Analyst 4
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 15,2024-06-30,Active,Analyst 3
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 15,2024-09-30,Active,Analyst 5
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 15,2024-12-31,Active,Analyst 2
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 15,2025-03-31,Active,Analyst 5
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 15,2025-06-30,Active,Analyst 5
F0020_03,High Risk,High,Facility F0020_03 has high risk rating of 13,2025-09-30,Active,Analyst 2
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 13,2023-09-30,Active,Analyst 2
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 13,2023-12-31,Active,Analyst 3
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 14,2024-03-31,Active,Analyst 1
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 15,2024-06-30,Active,Analyst 4
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 15,2024-09-30,Active,Analyst 4
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 15,2024-12-31,Active,Analyst 3
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 15,2025-03-31,Active,Analyst 5
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 15,2025-06-30,Active,Analyst 3
F0024_01,High Risk,High,Facility F0024_01 has high risk rating of 16,2025-09-30,Active,Analyst 2
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 14,2022-09-30,Active,Analyst 5
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 14,2022-12-31,Active,Analyst 1
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 14,2023-03-31,Active,Analyst 3
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 14,2023-06-30,Active,Analyst 5
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 14,2023-09-30,Active,Analyst 1
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 14,2023-12-31,Active,Analyst 3
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 14,2024-03-31,Active,Analyst 4
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 15,2024-06-30,Active,Analyst 1
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 15,2024-09-30,Active,Analyst 4
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 16,2024-12-31,Active,Analyst 1
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 16,2025-03-31,Active,Analyst 3
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 15,2025-06-30,Active,Analyst 2
F0026_01,High Risk,High,Facility F0026_01 has high risk rating of 16,2025-09-30,Active,Analyst 5
F0028_03,High Risk,High,Facility F0028_03 has high risk rating of 14,2023-09-30,Active,Analyst 4
F0028_03,High Risk,High,Facility F0028_03 has high risk rating of 14,2023-12-31,Active,Analyst 3
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2022-03-31,Active,Analyst 2
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2022-06-30,Active,Analyst 5
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2022-09-30,Active,Analyst 2
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2022-12-31,Active,Analyst 4
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2023-03-31,Active,Analyst 2
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2023-06-30,Active,Analyst 2
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 14,2023-09-30,Active,Analyst 1
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2023-12-31,Active,Analyst 1
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2024-03-31,Active,Analyst 2
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2024-06-30,Active,Analyst 4
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2024-09-30,Active,Analyst 4
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2024-12-31,Active,Analyst 1
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 13,2025-03-31,Active,Analyst 3
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 14,2025-06-30,Active,Analyst 1
F0029_02,High Risk,High,Facility F0029_02 has high risk rating of 15,2025-09-30,Active,Analyst 5
F0030_03,High Risk,High,Facility F0030_03 has high risk rating of 13,2024-03-31,Active,Analyst 2
F0030_03,High Risk,High,Facility F0030_03 has high risk rating of 13,2024-06-30,Active,Analyst 2
F0030_03,High Risk,High,Facility F0030_03 has high risk rating of 13,2024-09-30,Active,Analyst 4
F0030_03,High Risk,High,Facility F0030_03 has high risk rating of 14,2024-12-31,Active,Analyst 3
F0030_03,High Risk,High,Facility F0030_03 has high risk rating of 13,2025-03-31,Active,Analyst 4
F0030_03,High Risk,High,Facility F0030_03 has high risk rating of 13,2025-06-30,Active,Analyst 3
F0030_03,High Risk,High,Facility F0030_03 has high risk rating of 13,2025-09-30,Active,Analyst 5
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 13,2023-09-30,Active,Analyst 5
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 13,2023-12-31,Active,Analyst 3
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 14,2024-03-31,Active,Analyst 5
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 14,2024-06-30,Active,Analyst 1
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 14,2024-09-30,Active,Analyst 4
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 14,2024-12-31,Active,Analyst 1
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 14,2025-03-31,Active,Analyst 5
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 13,2025-06-30,Active,Analyst 4
F0033_01,High Risk,High,Facility F0033_01 has high risk rating of 13,2025-09-30,Active,Analyst 5
F0034_01,High Risk,High,Facility F0034_01 has high risk rating of 13,2025-03-31,Active,Analyst 4
F0034_01,High Risk,High,Facility F0034_01 has high risk rating of 13,2025-06-30,Active,Analyst 5
F0034_01,High Risk,High,Facility F0034_01 has high risk rating of 13,2025-09-30,Active,Analyst 5
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2022-06-30,Active,Analyst 2
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2022-09-30,Active,Analyst 3
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2022-12-31,Active,Analyst 2
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2023-03-31,Active,Analyst 3
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2023-06-30,Active,Analyst 3
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2023-09-30,Active,Analyst 3
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2023-12-31,Active,Analyst 4
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2024-03-31,Active,Analyst 4
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 13,2024-06-30,Active,Analyst 5
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 15,2024-09-30,Active,Analyst 3
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 15,2024-12-31,Active,Analyst 4
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 15,2025-03-31,Active,Analyst 5
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 15,2025-06-30,Active,Analyst 1
F0037_01,High Risk,High,Facility F0037_01 has high risk rating of 15,2025-09-30,Active,Analyst 2
F0038_01,High Risk,High,Facility F0038_01 has high risk rating of 13,2022-03-31,Active,Analyst 1
F0038_01,High Risk,High,Facility F0038_01 has high risk rating of 14,2022-06-30,Active,Analyst 5
F0038_01,High Risk,High,Facility F0038_01 has high risk rating of 14,2022-09-30,Active,Analyst 5
F0038_01,High Risk,High,Facility F0038_01 has high risk rating of 14,2022-12-31,Active,Analyst 4
F0038_01,High Risk,High,Facility F0038_01 has high risk rating of 14,2023-03-31,Active,Analyst 3
F0038_01,High Risk,High,Facility F0038_01 has high risk rating of 13,2023-06-30,Active,Analyst 2
F0038_01,High Risk,High,Facility F0038_01 has high risk rating of 13,2025-09-30,Active,Analyst 4
F0043_01,High Risk,High,Facility F0043_01 has high risk rating of 13,2025-03-31,Active,Analyst 4
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 13,2021-12-31,Active,Analyst 4
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 13,2022-03-31,Active,Analyst 5
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 14,2022-06-30,Active,Analyst 1
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 14,2022-09-30,Active,Analyst 3
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 14,2022-12-31,Active,Analyst 5
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 16,2023-03-31,Active,Analyst 2
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 16,2023-06-30,Active,Analyst 1
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 16,2023-09-30,Active,Analyst 1
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 15,2023-12-31,Active,Analyst 3
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 16,2024-03-31,Active,Analyst 1
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 16,2024-06-30,Active,Analyst 4
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 15,2024-09-30,Active,Analyst 2
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 14,2024-12-31,Active,Analyst 1
F0044_02,High Risk,High,Facility F0044_02 has high risk rating of 13,2025-03-31,Active,Analyst 3
F0045_01,High Risk,High,Facility F0045_01 has high risk rating of 13,2024-03-31,Active,Analyst 3
F0045_01,High Risk,High,Facility F0045_01 has high risk rating of 14,2024-06-30,Active,Analyst 1
F0045_01,High Risk,High,Facility F0045_01 has high risk rating of 14,2024-09-30,Active,Analyst 3
F0045_01,High Risk,High,Facility F0045_01 has high risk rating of 14,2024-12-31,Active,Analyst 5
F0045_01,High Risk,High,Facility F0045_01 has high risk rating of 14,2025-03-31,Active,Analyst 5
F0045_01,High Risk,High,Facility F0045_01 has high risk rating of 14,2025-06-30,Active,Analyst 5
F0045_01,High Risk,High,Facility F0045_01 has high risk rating of 14,2025-09-30,Active,Analyst 5
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2021-12-31,Active,Analyst 4
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2022-03-31,Active,Analyst 1
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2022-06-30,Active,Analyst 5
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2022-09-30,Active,Analyst 5
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2022-12-31,Active,Analyst 1
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 15,2023-03-31,Active,Analyst 2
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 14,2023-06-30,Active,Analyst 1
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 14,2023-09-30,Active,Analyst 5
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 15,2023-12-31,Active,Analyst 2
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 15,2024-03-31,Active,Analyst 4
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2024-06-30,Active,Analyst 2
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2024-09-30,Active,Analyst 3
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2024-12-31,Active,Analyst 2
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2025-03-31,Active,Analyst 4
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2025-06-30,Active,Analyst 3
F0047_01,High Risk,High,Facility F0047_01 has high risk rating of 16,2025-09-30,Active,Analyst 4
F0050_02,High Risk,High,Facility F0050_02 has high risk rating of 13,2025-03-31,Active,Analyst 2
F0050_02,High Risk,High,Facility F0050_02 has high risk rating of 14,2025-06-30,Active,Analyst 5
F0050_02,High Risk,High,Facility F0050_02 has high risk rating of 13,2025-09-30,Active,Analyst 3
F0052_01,High Risk,High,Facility F0052_01 has high risk rating of 13,2022-03-31,Active,Analyst 1
F0052_01,High Risk,High,Facility F0052_01 has high risk rating of 13,2022-06-30,Active,Analyst 2
F0052_01,High Risk,High,Facility F0052_01 has high risk rating of 13,2022-09-30,Active,Analyst 2
F0052_01,High Risk,High,Facility F0052_01 has high risk rating of 13,2022-12-31,Active,Analyst 2
F0052_01,High Risk,High,Facility F0052_01 has high risk rating of 13,2023-03-31,Active,Analyst 5
F0052_01,High Risk,High,Facility F0052_01 has high risk rating of 13,2023-06-30,Active,Analyst 4
F0052_01,High Risk,High,Facility F0052_01 has high risk rating of 13,2023-09-30,Active,Analyst 1
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2020-12-31,Active,Analyst 5
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2021-03-31,Active,Analyst 1
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2021-06-30,Active,Analyst 1
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2021-09-30,Active,Analyst 5
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2021-12-31,Active,Analyst 5
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2022-03-31,Active,Analyst 1
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 13,2022-06-30,Active,Analyst 3
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 13,2022-09-30,Active,Analyst 3
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2022-12-31,Active,Analyst 5
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2023-03-31,Active,Analyst 4
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2023-06-30,Active,Analyst 1
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2023-09-30,Active,Analyst 4
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 13,2023-12-31,Active,Analyst 4
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 13,2024-03-31,Active,Analyst 5
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2024-06-30,Active,Analyst 3
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 14,2024-09-30,Active,Analyst 4
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 15,2024-12-31,Active,Analyst 2
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 15,2025-03-31,Active,Analyst 4
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 15,2025-06-30,Active,Analyst 4
F0053_01,High Risk,High,Facility F0053_01 has high risk rating of 16,2025-09-30,Active,Analyst 3
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 13,2022-06-30,Active,Analyst 1
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 14,2022-09-30,Active,Analyst 1
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 14,2022-12-31,Active,Analyst 2
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 15,2023-03-31,Active,Analyst 2
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 16,2023-06-30,Active,Analyst 4
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 16,2023-09-30,Active,Analyst 2
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 16,2023-12-31,Active,Analyst 1
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 16,2024-03-31,Active,Analyst 1
F0053_02,High Risk,High,Facility F0053_02 has high risk rating of 16,2024-06-30,Active,Analyst 1
